keyword,priority,target_url_slug,word_count
seo для стоматологии в спб,1,seo-dlya-stomatologii-spb,1800
продвижение клиники в Яндексе,2,,2000
linkbuilding для медицинских сайтов,2,linkbuilding-medical,1500
core web vitals для wordpress,3,cwv-wordpress,1500
schema markup для local business,3,schema-local-business,1500
ai overviews влияние на seo,1,ai-overviews-seo,2200
гайд по semantic seo 2026,2,semantic-seo-guide,2500
e-e-a-t сигналы для ymyl сайтов,2,eeat-ymyl,1800
geo оптимизация для ai-поиска,1,geo-optimization,2000
программный seo для агрегаторов,3,programmatic-seo-aggregators,1500
