date,account,avg_response_sec,session_duration_min
2026-03-10_18:24,justtrance@gmail.com,0,0
2026-03-10_18:26,justtrance@gmail.com,0,0
2026-03-10_18:27,justtrance@gmail.com,0,0
2026-03-10_18:31,justtrance@gmail.com,0,0
2026-03-10_18:31,justtrance@gmail.com,0,0
2026-03-10_18:33,justtrance@gmail.com,0,0
2026-03-10_18:42,justtrance@gmail.com,0,0
2026-03-10_18:50,justtrance@gmail.com,0,0
2026-03-10_19:11,justtrance@gmail.com,0,0
2026-03-10_19:19,justtrance@gmail.com,0,0
2026-03-10_22:34,justtrance@gmail.com,0,0
2026-03-10_22:50,justtrance@gmail.com,0,0
2026-03-11_00:23,justtrance@gmail.com,0,0
2026-03-11_00:36,justtrance@gmail.com,0,0
2026-03-11_00:43,justtrance@gmail.com,0,0
2026-03-11_00:43,justtrance@gmail.com,0,0
2026-03-11_00:51,justtrance@gmail.com,0,0
2026-03-11_00:56,justtrance@gmail.com,0,0
2026-03-11_00:57,justtrance@gmail.com,0,0
2026-03-11_00:59,justtrance@gmail.com,0,0
2026-03-11_01:03,justtrance@gmail.com,0,0
2026-03-11_01:03,justtrance@gmail.com,0,0
2026-03-11_01:07,justtrance@gmail.com,0,0
2026-03-11_01:11,justtrance@gmail.com,0,0
2026-03-11_01:12,justtrance@gmail.com,0,0
2026-03-11_01:17,justtrance@gmail.com,0,0
2026-03-11_01:19,justtrance@gmail.com,0,0
2026-03-11_01:20,justtrance@gmail.com,0,0
2026-03-11_01:20,justtrance@gmail.com,0,0
2026-03-11_01:20,justtrance@gmail.com,0,0
2026-03-11_01:21,justtrance@gmail.com,0,0
2026-03-11_01:22,justtrance@gmail.com,0,0
2026-03-11_01:23,justtrance@gmail.com,0,0
2026-03-11_01:24,justtrance@gmail.com,0,0
2026-03-11_01:25,justtrance@gmail.com,0,0
2026-03-11_01:27,justtrance@gmail.com,0,0
2026-03-11_01:28,justtrance@gmail.com,0,0
2026-03-11_01:28,justtrance@gmail.com,0,0
2026-03-11_01:29,justtrance@gmail.com,0,0
2026-03-11_01:29,justtrance@gmail.com,0,0
2026-03-11_01:41,justtrance@gmail.com,0,0
2026-03-11_01:42,justtrance@gmail.com,0,0
2026-03-11_01:53,justtrance@gmail.com,0,0
2026-03-11_01:55,justtrance@gmail.com,0,0
2026-03-11_01:56,justtrance@gmail.com,0,0
2026-03-11_02:02,justtrance@gmail.com,0,0
2026-03-11_02:04,justtrance@gmail.com,0,0
2026-03-11_02:09,justtrance@gmail.com,0,0
2026-03-11_02:10,justtrance@gmail.com,0,0
2026-03-11_02:11,justtrance@gmail.com,0,0
2026-03-11_02:12,justtrance@gmail.com,0,0
2026-03-11_02:19,justtrance@gmail.com,0,0
2026-03-11_02:24,justtrance@gmail.com,0,0
2026-03-11_02:25,justtrance@gmail.com,0,0
2026-03-11_02:26,justtrance@gmail.com,0,0
2026-03-11_02:27,justtrance@gmail.com,0,0
2026-03-11_02:29,justtrance@gmail.com,0,0
2026-03-11_02:29,justtrance@gmail.com,0,0
2026-03-11_02:30,justtrance@gmail.com,0,0
2026-03-11_02:30,justtrance@gmail.com,0,0
2026-03-11_02:30,justtrance@gmail.com,0,0
2026-03-11_02:31,justtrance@gmail.com,0,0
2026-03-11_02:33,justtrance@gmail.com,0,0
2026-03-11_02:34,justtrance@gmail.com,0,0
2026-03-11_02:36,justtrance@gmail.com,0,0
2026-03-11_02:37,justtrance@gmail.com,0,0
2026-03-11_02:40,justtrance@gmail.com,0,0
2026-03-11_02:40,justtrance@gmail.com,0,0
2026-03-11_02:43,justtrance@gmail.com,0,0
2026-03-11_02:44,justtrance@gmail.com,0,0
2026-03-11_02:45,justtrance@gmail.com,0,0
2026-03-11_02:50,justtrance@gmail.com,0,0
2026-03-11_02:55,justtrance@gmail.com,0,0
2026-03-11_03:03,justtrance@gmail.com,0,0
2026-03-11_03:19,justtrance@gmail.com,0,0
2026-03-11_03:19,justtrance@gmail.com,0,0
2026-03-11_03:20,justtrance@gmail.com,0,0
2026-03-11_03:25,justtrance@gmail.com,0,0
2026-03-11_03:25,justtrance@gmail.com,0,0
2026-03-11_03:26,justtrance@gmail.com,0,0
2026-03-11_03:27,justtrance@gmail.com,0,0
2026-03-11_03:27,justtrance@gmail.com,0,0
2026-03-11_03:28,justtrance@gmail.com,0,0
2026-03-11_03:28,justtrance@gmail.com,0,0
2026-03-11_03:29,justtrance@gmail.com,0,0
2026-03-11_03:29,justtrance@gmail.com,0,0
2026-03-11_03:48,justtrance@gmail.com,0,0
2026-03-11_03:52,justtrance@gmail.com,0,0
2026-03-11_03:52,justtrance@gmail.com,0,0
2026-03-11_03:53,justtrance@gmail.com,0,0
2026-03-11_03:53,justtrance@gmail.com,0,0
2026-03-11_03:54,justtrance@gmail.com,0,0
2026-03-11_03:56,justtrance@gmail.com,0,0
2026-03-11_03:56,justtrance@gmail.com,0,0
2026-03-11_03:57,justtrance@gmail.com,0,0
2026-03-11_03:57,justtrance@gmail.com,0,0
